id,quest,op1,op2,op3,op4,difficulty,ans
1,Which of the following is the hottest planet in the solar system?,Mercury, Venus,Earth,Mars,1,2
2,"Two ladies played cards for candy; the winner received one piece per game from the loser. When it was time for one of the ladies to go home, one lady had won three games, while the other lady had a profit of three pieces of candy.

How many individual games had they played?",7,8,9,10,1,3
3,"Observe the following and answer the following.
12×12=9
23×23=16
34×34=?",14,13,15,16,1,2
4,"Which number is like the given set of numbers (50, 101, 170) ?",80,37,121,120,1,2
5,"You are given two decks of cards, what is the least amount of cards you must take to be guaranteed at least one four-of-a-kind?",35,40,45,50,2,2
6,Which of the following is the hottest planet in the solar system?,Mercury,Venus,Earth,Mars,1,2
7,Choose the group of letters which is different from others.,ABD,HIK,VWZ,QRT,1,3
8,"Your friend Ishaan is confused, help him solve the problem.
How many steps are required to break an m × n sized bar of chocolate into 1 × 1 pieces  
You can break an existing piece of chocolate horizontally or vertically.
You cannot break two or more pieces at once (so no cutting through stacks).
? a)m*n  b)m*(n-1)  c)(m-1)*(n-1)   d)m*n - 1",m*n,m*(n-1),(m-1)*(n-1),m*n-1,2,4
9,"Find the next number
7,20,47,94,167 ____?",272,271,274,275,3,1
10,"If + means ÷ ,- means x, ÷ means + and x means +, then the value of 
36 x 12 +4 ÷ 6+2-3
when simplified is ?",2,42,18,6.5,2,2
11,"Find the next number?
1,2,6,15,31,___",56,57,58,59,3,1
12,"How many combinations of two-digit numbers having 8 can be made from following numbers

8, 5, 2, 1, 7, 6  ?",9,10,11,12,2,3
13,Who among the following wrote Sanskrit grammar?, Kalidasa,Charaka, Panini,Chanakya,1,3
14,"If train is called tractor, tractor is called moped, moped is called car, car is called scooter, scooter is called bicycle, bicycle is called bus, which is used to plough a field ? ",Train,Bus,Car,None of these,1,4
15,"Five bells begin to toll together and toll respectively at intervals of 6, 5, 7, 10 and 12 seconds. How many times will they toll together in one hour excluding the one at the start ?",7,8,9,10,3,2
16,Golf player Vijay Singh belongs to which country?,India,Fiji,UK,Russia,2,2
17,"""Below given a series of some five numbers :
446 362 576 495 241
If the middle digit in all the numbers are removed, then which of the following number will be maximum? 
Options:
a)446
b)362
c)576
d)495

""",446,362,576,495,1,3
18,"A car driver knows four different routes from Delhi to Amritsar. From Amritsar to Pathankot, he knows three different routes and from Pathankot to Jammu he knows two different routes. How many routes does he know from Delhi to Jammu?",4,8,12,24,3,4
